 AADE Ed J; AADE editors' journal
 Bull N Y State Soc Dent Child; Bulletin of the New York State Society of Dentistry for Children
 AWHONNS Clin Issues Perinat Womens Health Nurs; AWHONN's clinical issues in perinatal and women's health nursing
 Semin Perioper Nurs; Seminars in perioperative nursing
 Can J Exp Psychol; Canadian journal of experimental psychology = Revue canadienne de psychologie experimentale
 Vet Res; Veterinary research
 Qual Lett Healthc Lead; The Quality letter for healthcare leaders
 Clin Pract Guidel Quick Ref Guide Clin; Clinical practice guideline Quick reference guide for clinicians
 Arch Ital Urol Androl; Archivio italiano di urologia andrologia  organo ufficiale di Societa italiana di ecografia urologica e nefrologica
 Bull Off Int Epizoot; Bulletin - Office international des epizooties
 Rev Assoc Med Bras 1992; Revista da Associacao Medica Brasileira 1992
 NIH Consens Statement; NIH consensus statement
 Fiziol Zh Im I M Sechenova; Fiziologicheskii zhurnal imeni IM Sechenova
 Brain Inj; Brain injury
 Clin Commun Disord; Clinics in communication disorders
 Hum Mol Genet; Human molecular genetics
 Hum Mutat; Human mutation
 Insect Biochem Mol Biol; Insect biochemistry and molecular biology
 Int J Eat Disord; The International journal of eating disorders
 Int J Sport Nutr; International journal of sport nutrition
 Investig Urol Berl; Investigative urology Berlin Germany
 J Biopharm Stat; Journal of biopharmaceutical statistics
 J Endourol; Journal of endourology
 Bull Ophthalmol Soc Egypt; Bulletin of the Ophthalmological Society of Egypt
 J Neuroendocrinol; Journal of neuroendocrinology
 J Orthop Sports Phys Ther; The Journal of orthopaedic and sports physical therapy
 Nat Genet; Nature genetics
 Neuropsychol Rev; Neuropsychology review
 Neurourol Urodyn; Neurourology and urodynamics
 Brookings Rev; The Brookings review
 Brain Res Brain Res Rev; Brain research Brain research reviews
 Pharmacogenetics; Pharmacogenetics
 Plant J; The Plant journal  for cell and molecular biology
 Prog Urol; Progres en urologie  journal de l'Association francaise d'urologie et de la Societe francaise d'urologie
 Stud Hum Ecol; Studies in human ecology
 Transgenic Res; Transgenic research
 World J Urol; World journal of urology
 Christ Med Dent Soc J; Christian Medical Dental Society journal
 Bull Osaka Med Sch; Bulletin of the Osaka Medical School
 Nurse Author Ed; Nurse author & editor
 Midwifery Today Childbirth Educ; Midwifery today and childbirth education
 Air Med J; Air medical journal
 J Cardiovasc Manag; The Journal of cardiovascular management  the official journal of the American College of Cardiovascular Administrators
 Bull Osaka Med Sch Suppl; Bulletin of the Osaka Medical School Supplement
 Recruit Retent Rep; Recruitment & retention report
 Bull Pac Coast Soc Orthod; Bulletin - Pacific Coast Society of Orthodontists
 Infirmiers; Infirmiers
 Biol Res; Biological research
 Bull Pan Am Health Organ; Bulletin of the Pan American Health Organization
 Rom J Endocrinol; Romanian journal of endocrinology
 Sykepl Fag; Sykepleien Fag
 Appl Parasitol; Applied parasitology
 Bull Parenter Drug Assoc; Bulletin of the Parenteral Drug Association
 Pap Ser United Hosp Fund N Y; Paper series United Hospital Fund of New York
 Int J Fertil Menopausal Stud; International journal of fertility and menopausal studies
 Cell Mol Biol Res; Cellular & molecular biology research
 Cancer Pract; Cancer practice
 Bull Passaic Cty Dent Soc; Bulletin of the Passaic County Dental Society
 Immunodeficiency; Immunodeficiency
 Hosp Health Netw; Hospitals & health networks
 Sonderb Z Strahlenther Onkol; Sonderband  der Zeitschrift Strahlentherapie und Onkologie
 Bull Pharm Res Inst; Bulletin of Pharmaceutical Research Institute
 Semina; Semina
 Health Transit Rev; Health transition review  the cultural social and behavioural determinants of health
 Endocr J; Endocrine journal
 Arch Vet Pol; Archivum veterinarium Polonicum
 Pol J Pharmacol; Polish journal of pharmacology
 Magy Traumatol Ortop Kezseb Plasztikai Seb; Magyar traumatologia ortopedia kezsebeszet plasztikai sebeszet
 Nurs N Z; Nursing New Zealand Wellington NZ  1995
 J Econ Perspect; The journal of economic perspectives  a journal of the American Economic Association
 Bull Phila Cty Dent Soc; The Bulletin of the Philadelphia County Dental Society
 Matrix Suppl; Matrix Stuttgart Germany Supplement
 Bull Physiopathol Respir Nancy; Bulletin de physio-pathologie respiratoire
 Biomed Instrum Technol; Biomedical instrumentation & technology
 Bull Plainfield Dent Soc; Bulletin Of The Plainfield Dental Society
 Folia Phoniatr Logop; Folia phoniatrica et logopaedica  official organ of the International Association of Logopedics and Phoniatrics IALP
 Medsurg Nurs; Medsurg nursing  official journal of the Academy of Medical-Surgical Nurses
 Cancer Biother; Cancer biotherapy
 Minim Invasive Surg Nurs; Minimally invasive surgical nursing
 Mol Membr Biol; Molecular membrane biology
 Pol Med Sci Hist Bull; Polish medical science and history bulletin
 Int J Obes Relat Metab Disord; International journal of obesity and related metabolic disorders  journal of the International Association for the Study of Obesity
 J Pediatr Endocrinol; The Journal of pediatric endocrinology
 J Psychosom Obstet Gynaecol; Journal of psychosomatic obstetrics and gynaecology
 J Voice; Journal of voice  official journal of the Voice Foundation
 Methods Mol Biol; Methods in molecular biology Clifton NJ
 Mol Mar Biol Biotechnol; Molecular marine biology and biotechnology
 Noshuyo Byori; Noshuyo byori = Brain tumor pathology
 Pediatr Allergy Immunol; Pediatric allergy and immunology  official publication of the European Society of Pediatric Allergy and Immunology
 Transfus Med; Transfusion medicine Oxford England
 Contracept Fertil Sex; Contraception fertilite sexualite 1992
 Bull Prosthet Res; Bulletin of prosthetics research
 Biocell; Biocell  official journal of the Sociedades Latinoamericanas de Microscopia Electronica  et al
 Bus Health; Business and health
 Am J Crit Care; American journal of critical care  an official publication American Association of Critical-Care Nurses
 Commun Dis Rep CDR Suppl; Communicable disease report CDR supplement
 Ann Clin Psychiatry; Annals of clinical psychiatry  official journal of the American Academy of Clinical Psychiatrists
 Artif Intell Med; Artificial intelligence in medicine
 Biol Signals; Biological signals
 Commun Dis Rep CDR Rev; Communicable disease report CDR review
 Commun Dis Rep CDR Wkly; Communicable disease report CDR weekly
 Curr Opin Pediatr; Current opinion in pediatrics
 Dementia; Dementia Basel Switzerland
 Epithelial Cell Biol; Epithelial cell biology
 Hippocampus; Hippocampus
 Int J Impot Res; International journal of impotence research
 J Crit Care; Journal of critical care
 J Hand Ther; Journal of hand therapy  official journal of the American Society of Hand Therapists
 Qual Manag Health Care; Quality management in health care
 J Wound Ostomy Continence Nurs; Journal of wound ostomy and continence nursing  official publication of The Wound Ostomy and Continence Nurses Society
 Jt Comm J Qual Improv; The Joint Commission journal on quality improvement
 Bull Rheum Dis; Bulletin on the rheumatic diseases
 J Prosthodont; Journal of prosthodontics  official journal of the American College of Prosthodontists
 Infirm Que; L'Infirmiere du Quebec  revue officielle de l'Ordre des infirmieres et infirmiers du Quebec
 Newsweek; Newsweek
 J Law Med Ethics; The Journal of law medicine & ethics  a journal of the American Society of Law Medicine & Ethics
 Prog Exp Pers Psychopathol Res; Progress in experimental personality & psychopathology research
 Nurs Dyn; Nursing dynamics
 Am Indian Alsk Native Ment Health Res Monogr Ser; American Indian and Alaska native mental health research Monographic series
 Integr Healthc Rep; Integrated healthcare report
 Bull San Diego Cty Dent Soc; Bulletin - San Diego County Dental Society
 Behav Sci Law; Behavioral sciences & the law
 Nihon Kango Kagakkaishi; Nihon Kango Kagakkai shi = Journal of Japan Academy of Nursing Science
 Aust Med Rec J; Australian medical record journal
 Health Econ; Health economics
 San Fernando Val Dent Soc Bull; San Fernando Valley Dental Society bulletin
 Healthc Hum Resour; Healthcare human resources
 Int J Health Care Qual Assur; International journal of health care quality assurance
 J Health Care Benefits; Journal of health care benefits
 J Manag Med; Journal of management in medicine
 Manag Care Q; Managed care quarterly
 Med Interface; Medical interface
 Qual Health Care; Quality in health care  QHC
 Bull San Mateo Cty Dent Soc; Bulletin - San Mateo County Dental Society
 EBRI Issue Brief; EBRI issue brief
 Rev Alerg; Revista alergia  organo oficial de la Sociedad Mexicana de Alergia e Inmunlogia
 Free Radic Res; Free radical research
 Arch Ital Otol Rinol Laringol Suppl; Archivio italiano di otologia rinologia e laringologia Supplemento
 Arch Ital Otol Rinol Laringol; Archivio italiano di otologia rinologia e laringologia
 Morfologiia; Morfologiia Saint Petersburg Russia
 Enzyme Protein; Enzyme & protein
 Occup Environ Med; Occupational and environmental medicine
 Arch Pediatr Adolesc Med; Archives of pediatrics & adolescent medicine
 Arch Pediatr; Archives de pediatrie  organe officiel de la Societe francaise de pediatrie
 Trans Am Acad Insur Med; Transactions of the American Academy of Insurance Medicine  Annual Meeting American Academy of Insurance Medicine Meeting
 Fortschr Geb Rontgenstrahlen Neuen Bildgeb Verfahr Erganzungsbd; Fortschritte auf dem Gebiete der Rontgenstrahlen und der neuen bildgebenden Verfahren Erganzungsband
 Virchows Arch B Cell Pathol Incl Mol Pathol; Virchows Archiv B Cell pathology including molecular pathology
 J Gastroenterol; Journal of gastroenterology
 Curr Opin Cosmet Dent; Current opinion in cosmetic dentistry
 Curr Opin Periodontol; Current opinion in periodontology
 Periodontol 2000; Periodontology 2000
 CDR Lond Engl Rev; CDR London England  Review
 Bull Schweiz Akad Med Wiss; Bulletin der Schweizerischen Akademie der Medizinischen Wissenschaften
 CDR Lond Engl Wkly; CDR London England  Weekly
 Radiats Biol Radioecol; Radiatsionnaia biologiia radioecologiia
 Transfus Clin Biol; Transfusion clinique et biologique  journal de la Societe francaise de transfusion sanguine
 Soc Work Res; Social work research
 Mikrobiol Z; Mikrobiolohichnyi zhurnal Kiev Ukraine  1993
 Curr Opin Neurol; Current opinion in neurology
 J Health Care Inter Des; Journal of health care interior design  proceedings from the  Symposium on Health Care Interior Design Symposium on Health Care Interior Design
 Arch Fam Med; Archives of family medicine
 Adv Space Biol Med; Advances in space biology and medicine
 Ann Epidemiol; Annals of epidemiology
 Blood Press Suppl; Blood pressure Supplement
 Bull Sci Med Bologna; Bullettino delle scienze mediche
 J Neuroophthalmol; Journal of neuro-ophthalmology  the official journal of the North American Neuro-Ophthalmology Society
 Artif Cells Blood Substit Immobil Biotechnol; Artificial cells blood substitutes and immobilization biotechnology
 Foot Ankle Int; Foot & ankle international
 J Chromatogr A; Journal of chromatography A
 Seishin Igaku Kenkyusho Gyosekishu; Seishin Igaku Kenkyujo gyosekishu = Bulletin of the Seishin-Igaku Institute
 J Chromatogr B Biomed Appl; Journal of chromatography B Biomedical applications
 Aust Nurs J; Australian nursing journal July 1993
 Pathol Int; Pathology international
 J Dent Symp; The Journal of dental symposia
 Eur J Endocrinol; European journal of endocrinology
 Microbiology; Microbiology Reading England
 Rev Lat Am Enfermagem; Revista latino-americana de enfermagem
 Perspect Respir Nurs; Perspectives in respiratory nursing  a publication of the Respiratory Nursing Society
 Nurs Spectr Wash D C; Nursing spectrum DC/Baltimore metro ed
 Surg Laparosc Endosc; Surgical laparoscopy & endoscopy
 Adv Card Surg; Advances in cardiac surgery
 Int J Neural Syst; International journal of neural systems
 Diagn Mol Pathol; Diagnostic molecular pathology  the American journal of surgical pathology part B
 J Cardiovasc Electrophysiol; Journal of cardiovascular electrophysiology
 J Refract Corneal Surg; Journal of refractive and corneal surgery
 Blood Press; Blood pressure
 Brain Pathol; Brain pathology Zurich Switzerland
 Camb Q Healthc Ethics; Cambridge quarterly of healthcare ethics  CQ  the international journal of healthcare ethics committees
 Clin Dysmorphol; Clinical dysmorphology
 Eur J Med; The European journal of medicine
 Suppl Eur J Neurosci; Supplement  to the European journal of neuroscience
 Eur J Neurosci; The European journal of neuroscience
 Insect Mol Biol; Insect molecular biology
 J Heart Valve Dis; The Journal of heart valve disease
 J Investig Allergol Clin Immunol; Journal of investigational allergology & clinical immunology
 J Vestib Res; Journal of vestibular research  equilibrium & orientation
 Microb Releases; Microbial releases  viruses bacteria fungi
 Mol Cell Biol Hum Dis Ser; Molecular and cell biology of human diseases series
 Mol Ecol; Molecular ecology
 Bull Soc Belge Ophtalmol; Bulletin de la Societe belge d'ophtalmologie
 Mol Phylogenet Evol; Molecular phylogenetics and evolution
 Palliat Med; Palliative medicine
 Pharm Biotechnol; Pharmaceutical biotechnology
 Prog Mol Subcell Biol; Progress in molecular and subcellular biology
 Rev Neurosci; Reviews in the neurosciences
 Scanning; Scanning
 Surg Oncol; Surgical oncology
 Coron Artery Dis; Coronary artery disease
 Semin Vasc Surg; Seminars in vascular surgery
 Stat Methods Med Res; Statistical methods in medical research
 Saturday Rev; Saturday review
 Bull Soc Chim Biol Paris; Bulletin de la Societe de chimie biologique
 Br J Hosp Med; British journal of hospital medicine
 Beitr Infusionsther; Beitrage zur Infusionstherapie = Contributions to infusion therapy
 Bull Soc Chim Fr; Bulletin de la Societe chimique de France
 Chir Pediatr; Chirurgie pediatrique
 Compens Benefits Rev; Compensation and benefits review
